name,orf,desc,introns,status,sgd,extra,chr_loc,start,stop,orf_start,orf_stop
TFC3,YAL001C,Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (“extra TFIIIC)” sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes,[151097 151006],Verified ORF,S000000001,"reverse complement, intron sequence removed",1.0,151166.0,147594.0,151209.0,147521.0
VPS8,YAL002W,Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif,[],Verified ORF,S000000002,[],1.0,143707.0,147531.0,143612.0,147587.0
EFB1,YAL003W,"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants",[142253 142620],Verified ORF,S000000003,intron sequence removed,1.0,142174.0,143160.0,142153.0,143381.0
YAL004W,YAL004W,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C",[],Dubious ORF,S000002136,[],1.0,140760.0,141407.0,,
SSA1,YAL005C,"ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils",[],Verified ORF,S000000004,reverse complement,1.0,141431.0,139503.0,141493.0,139357.0
ERP2,YAL007C,"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication",[],Verified ORF,S000000005,reverse complement,1.0,138345.0,137698.0,138414.0,137552.0
FUN14,YAL008W,"Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis",[],Verified ORF,S000000006,[],1.0,136914.0,137510.0,136866.0,137637.0
SPO7,YAL009W,"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation",[],Verified ORF,S000000007,[],1.0,135854.0,136633.0,135823.0,136756.0
MDM10,YAL010C,"Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase",[],Verified ORF,S000000008,reverse complement,1.0,135665.0,134184.0,135702.0,134083.0
SWC3,YAL011W,"Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae",[],Verified ORF,S000000009,[],1.0,132199.0,134076.0,132195.0,134175.0
CYS3,YAL012W,Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress,[],Verified ORF,S000000010,[],1.0,130799.0,131983.0,130742.0,132082.0
DEP1,YAL013W,"Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation",[],Verified ORF,S000000011,[],1.0,129270.0,130487.0,129236.0,130588.0
SYN8,YAL014C,Endosomal SNARE related to mammalian syntaxin 8,[],Verified ORF,S000000012,reverse complement,1.0,129019.0,128252.0,129067.0,128118.0
NTG1,YAL015C,"DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication",[],Verified ORF,S000000013,reverse complement,1.0,128102.0,126903.0,128074.0,126746.0
TPD3,YAL016W,Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III,[],Verified ORF,S000000014,[],1.0,124879.0,126786.0,124786.0,126870.0
PSK1,YAL017W,"PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication",[],Verified ORF,S000000015,[],1.0,120225.0,124295.0,119862.0,124446.0
LDS1,YAL018C,"Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants",[],Verified ORF,S000000016,reverse complement,1.0,119541.0,118564.0,,
FUN30,YAL019W,"Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate",[],Verified ORF,S000000017,[],1.0,114919.0,118314.0,114813.0,118363.0
ATS1,YAL020C,"Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p",[],Verified ORF,S000000018,reverse complement,1.0,114615.0,113614.0,114637.0,113539.0
CCR4,YAL021C,"Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening",[],Verified ORF,S000000019,reverse complement,1.0,113359.0,110846.0,113418.0,110616.0
FUN26,YAL022C,"High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member",[],Verified ORF,S000000020,reverse complement,1.0,110430.0,108877.0,110446.0,108835.0
PMT2,YAL023C,"Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication",[],Verified ORF,S000000021,reverse complement,1.0,108551.0,106272.0,108640.0,106157.0
LTE1,YAL024C,Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures,[],Verified ORF,S000000022,reverse complement,1.0,105872.0,101565.0,105986.0,101482.0
MAK16,YAL025C,Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus,[],Verified ORF,S000000023,reverse complement,1.0,101145.0,100225.0,101168.0,100024.0
